EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,Location,MonthlyIncome,PercentSalaryHike,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,BusinessTravel,OverTime,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,SurveyFeedback
10046,38,Female,Single,Technology,Junior Developer,4,Computer Science,Bengaluru,196227,15,0,5,5,7,6,9,8,50,Travel_Rarely,Yes,4,3,1,4,2,2,4,Yes,Job is fine but I am looking for more interesting challenges
10047,32,Male,Divorced,HR,Recruiter,5,Finance,Mumbai,132771,19,0,14,3,3,4,17,4,34,Travel_Frequently,No,3,2,2,3,1,4,4,Yes,Excessive workload with no work life balance whatsoever here
10048,53,Female,Married,Sales,Account Manager,2,HR Management,Chennai,90842,15,3,15,9,2,6,15,2,32,Travel_Frequently,No,4,3,1,1,3,1,2,Yes,"Average experience overall, some good and some bad aspects"
10049,31,Male,Married,Technology,Junior Developer,2,Finance,Mumbai,17589,11,2,4,5,3,3,28,6,2,Non-Travel,No,4,1,4,2,4,2,4,Yes,"Too much overtime, work life balance is completely terrible"
10050,43,Female,Married,Sales,Sales Lead,1,Finance,Bengaluru,140023,20,0,12,4,3,9,20,1,26,Non-Travel,No,5,4,2,3,4,2,4,No,Work is okay but salary could definitely be better though
10051,38,Male,Single,Operations,Ops Executive,4,Marketing,Bengaluru,183150,19,2,18,8,1,0,33,7,45,Travel_Rarely,No,4,3,2,1,4,1,1,No,Work is okay but salary could definitely be better though
10052,25,Male,Single,HR,Recruiter,1,Computer Science,Bengaluru,246617,15,2,1,8,3,3,33,1,11,Travel_Rarely,No,3,1,4,4,3,1,1,Yes,Excessive workload with no work life balance whatsoever here
10053,46,Male,Married,HR,HR Business Partner,4,Computer Science,Hyderabad,69918,17,1,5,0,8,9,13,6,25,Non-Travel,Yes,1,1,1,1,4,4,2,Yes,Job is fine but I am looking for more interesting challenges
10054,42,Male,Single,Technology,Junior Developer,1,Engineering,Chennai,159673,15,2,0,2,3,2,4,5,19,Non-Travel,Yes,0,4,3,1,2,4,2,Yes,Very high pressure with little or no recognition for work done
10055,22,Male,Married,HR,HR Business Partner,4,Business Administration,Pune,22711,13,2,14,0,0,8,23,3,20,Travel_Rarely,No,4,2,3,2,2,2,4,Yes,Excessive workload with no work life balance whatsoever here
10056,46,Female,Divorced,Marketing,Marketing Manager,1,Finance,Pune,232972,24,0,14,5,0,4,8,6,33,Travel_Frequently,Yes,6,1,3,4,3,2,1,Yes,"No growth at all, stuck in same role for many years now"
10057,57,Female,Divorced,HR,Recruiter,4,Finance,Mumbai,74430,13,2,13,2,0,3,13,4,17,Travel_Frequently,Yes,5,2,2,2,3,2,2,Yes,I feel undervalued and underpaid compared to industry standards
10058,38,Female,Single,Sales,Sales Executive,1,HR Management,Mumbai,209399,18,2,6,0,4,7,24,6,52,Non-Travel,No,2,2,2,4,3,3,3,Yes,"It is an okay place to work, nothing exceptional about it"
10059,45,Male,Married,Sales,BD Executive,2,Computer Science,Mumbai,245314,15,1,4,5,5,4,30,4,30,Travel_Rarely,No,4,2,4,3,2,4,3,No,"Good colleagues, strong learning opportunities and recognition"
10060,23,Female,Married,Sales,Sales Executive,5,HR Management,Chennai,241218,17,1,19,4,5,2,30,1,18,Non-Travel,No,6,3,1,1,3,2,4,No,"Good colleagues, strong learning opportunities and recognition"
10061,36,Male,Divorced,Sales,BD Executive,1,Marketing,Bhubaneswar,117605,17,0,15,7,5,1,25,5,32,Travel_Rarely,No,3,2,4,2,3,1,1,No,"It is an okay place to work, nothing exceptional about it"
10062,53,Male,Single,Marketing,SEO Analyst,5,Engineering,Mumbai,18970,16,0,16,1,8,7,33,8,40,Travel_Rarely,No,4,2,2,4,4,4,3,Yes,Work is okay but salary could definitely be better though
10063,27,Male,Single,Finance,Tax Analyst,2,HR Management,Bengaluru,84535,12,1,10,7,0,1,9,6,45,Travel_Rarely,No,2,1,3,2,3,4,1,Yes,"Too much overtime, work life balance is completely terrible"
10064,22,Female,Single,Operations,Coordinator,2,Computer Science,Mumbai,101570,19,1,14,4,9,7,26,9,4,Travel_Rarely,Yes,6,4,1,1,1,2,2,Yes,Work is okay but salary could definitely be better though
10065,44,Male,Single,Technology,QA Engineer,4,Marketing,Bengaluru,136315,10,3,19,7,5,4,24,4,32,Non-Travel,No,1,3,3,1,4,3,1,No,Great work life balance and very interesting projects daily
10066,38,Female,Single,Sales,Sales Manager,5,Finance,Hyderabad,182248,14,2,15,9,7,7,33,9,19,Travel_Rarely,No,3,2,1,3,2,2,4,Yes,Job is fine but I am looking for more interesting challenges
10067,55,Female,Married,HR,L&D Specialist,3,Marketing,Bhubaneswar,127111,22,0,2,3,7,4,25,8,3,Travel_Frequently,No,3,4,3,4,2,3,1,No,"Very happy with my role, the team is fantastic and supportive"
10068,50,Male,Married,Sales,Sales Lead,4,Business Administration,Bhubaneswar,56730,24,0,5,3,2,0,15,3,38,Non-Travel,No,5,2,1,4,2,3,3,Yes,I feel undervalued and underpaid compared to industry standards
10069,30,Male,Single,HR,HR Manager,5,HR Management,Chennai,228240,19,2,12,9,4,1,6,6,28,Travel_Rarely,No,3,2,3,3,4,1,1,Yes,"Too much overtime, work life balance is completely terrible"
10070,34,Female,Married,Operations,Ops Executive,1,Computer Science,Chennai,159457,19,2,0,3,9,5,20,4,38,Travel_Rarely,No,2,1,4,3,2,2,1,Yes,Work is okay but salary could definitely be better though
10071,27,Female,Single,Operations,Process Analyst,1,HR Management,Pune,138252,24,0,13,5,3,2,16,1,54,Travel_Rarely,Yes,6,4,2,4,4,3,1,Yes,Very high pressure with little or no recognition for work done
10072,27,Female,Divorced,Operations,Operations Manager,2,Finance,Hyderabad,152022,11,1,1,3,0,7,21,9,6,Travel_Frequently,No,3,1,4,4,4,4,2,Yes,"Average experience overall, some good and some bad aspects"
10073,41,Female,Divorced,HR,Recruiter,3,Finance,Chennai,247302,21,1,1,8,8,4,15,4,56,Travel_Rarely,No,1,1,3,2,1,2,4,Yes,Excessive workload with no work life balance whatsoever here
10074,24,Female,Divorced,Sales,Sales Manager,1,Computer Science,Bengaluru,219583,19,2,14,8,4,2,4,5,40,Travel_Rarely,Yes,0,2,1,4,1,3,3,Yes,"It is an okay place to work, nothing exceptional about it"
10075,38,Female,Divorced,Operations,Operations Manager,5,Business Administration,Hyderabad,199081,22,0,17,2,1,9,24,3,57,Travel_Rarely,Yes,0,2,4,2,1,4,3,Yes,Very high pressure with little or no recognition for work done
10076,33,Male,Single,Marketing,Brand Manager,5,Engineering,Bhubaneswar,232922,11,2,8,6,1,6,3,4,17,Travel_Frequently,No,4,2,3,2,1,1,1,Yes,"Too much overtime, work life balance is completely terrible"
10077,22,Female,Single,HR,HR Executive,1,Marketing,Bengaluru,169470,23,1,2,4,6,7,1,9,42,Travel_Rarely,No,0,4,2,2,1,1,1,Yes,"Average experience overall, some good and some bad aspects"
10078,38,Female,Married,HR,Recruiter,5,Marketing,Hyderabad,171349,16,3,3,8,3,3,30,7,56,Travel_Frequently,No,2,4,1,2,2,2,2,Yes,Job is fine but I am looking for more interesting challenges
10079,24,Female,Divorced,Sales,Sales Lead,5,Finance,Bhubaneswar,172833,20,3,14,1,0,8,13,8,5,Non-Travel,No,0,4,4,1,2,2,4,No,"Very happy with my role, the team is fantastic and supportive"
10080,47,Female,Single,HR,HR Business Partner,2,HR Management,Chennai,210507,22,1,4,2,4,5,18,3,19,Travel_Rarely,No,2,4,2,3,2,2,3,No,"Very happy with my role, the team is fantastic and supportive"
10081,36,Male,Single,HR,HR Manager,3,HR Management,Bengaluru,78944,12,2,19,9,1,0,11,3,43,Travel_Rarely,No,2,2,3,3,1,2,4,Yes,"Too much overtime, work life balance is completely terrible"
10082,57,Male,Married,Operations,Ops Executive,2,Business Administration,Bengaluru,177605,22,3,19,4,6,4,29,7,42,Non-Travel,Yes,4,2,1,4,3,2,3,Yes,Poor management decisions causing frustration across the team
10083,53,Female,Single,Sales,BD Executive,3,Engineering,Bhubaneswar,218574,17,1,4,4,8,4,4,8,35,Non-Travel,Yes,0,1,3,3,2,3,1,Yes,Very high pressure with little or no recognition for work done
10084,53,Female,Married,Operations,Coordinator,5,HR Management,Bengaluru,122437,18,0,9,9,0,6,25,5,22,Travel_Rarely,No,4,2,1,3,2,4,2,No,"It is an okay place to work, nothing exceptional about it"
10085,25,Female,Married,Operations,Supply Chain Analyst,3,Marketing,Chennai,141794,23,2,15,6,1,6,28,1,24,Travel_Rarely,No,3,4,2,1,3,2,2,No,"I love working here, great team and management support"
10086,39,Male,Single,Sales,Sales Executive,5,HR Management,Chennai,87123,22,2,11,7,5,5,8,3,10,Travel_Frequently,No,1,3,2,2,1,4,1,Yes,Excessive workload with no work life balance whatsoever here
10087,40,Male,Single,Technology,Data Analyst,5,Engineering,Chennai,37880,17,3,13,7,7,7,21,5,2,Travel_Rarely,No,6,2,2,2,4,3,1,Yes,Very high pressure with little or no recognition for work done
10088,56,Male,Married,Operations,Process Analyst,2,Marketing,Bhubaneswar,216699,15,2,10,0,6,1,18,3,28,Non-Travel,No,0,4,4,2,3,3,1,No,Management is supportive and salary is competitive and fair
10089,35,Male,Married,Marketing,Digital Marketer,2,HR Management,Mumbai,187825,14,3,18,0,8,6,25,1,41,Travel_Rarely,Yes,3,1,4,3,3,3,4,Yes,"No growth at all, stuck in same role for many years now"
10090,54,Male,Divorced,Marketing,SEO Analyst,4,Marketing,Mumbai,242738,12,3,5,2,1,9,5,7,37,Non-Travel,Yes,5,2,4,3,2,2,1,Yes,Work is okay but salary could definitely be better though
10091,35,Male,Single,HR,L&D Specialist,1,Finance,Bengaluru,228669,12,1,9,0,8,6,8,1,53,Travel_Rarely,No,6,3,3,4,2,1,4,Yes,Poor management decisions causing frustration across the team
10092,55,Female,Single,Marketing,Marketing Manager,4,Finance,Chennai,102829,16,3,19,0,3,3,23,6,17,Travel_Rarely,Yes,6,4,4,1,1,1,1,Yes,Job is fine but I am looking for more interesting challenges
10093,25,Male,Married,HR,HR Manager,4,Business Administration,Bengaluru,147633,22,0,2,9,2,9,3,6,6,Travel_Frequently,No,6,2,1,1,4,2,2,Yes,"Average experience overall, some good and some bad aspects"
10094,45,Male,Married,Technology,QA Engineer,3,Finance,Bhubaneswar,68205,14,2,14,7,6,1,31,7,43,Travel_Rarely,No,3,4,2,4,4,2,4,No,"Good colleagues, strong learning opportunities and recognition"
10095,50,Female,Single,Sales,BD Executive,5,HR Management,Bengaluru,121948,21,3,10,0,4,3,29,1,59,Travel_Frequently,No,4,3,3,4,3,2,2,No,Job is fine but I am looking for more interesting challenges
10096,40,Male,Married,Sales,Account Manager,5,Engineering,Pune,74810,23,2,1,8,4,3,20,3,5,Travel_Rarely,No,4,3,3,4,1,3,1,Yes,"Too much overtime, work life balance is completely terrible"
10097,27,Female,Single,Sales,BD Executive,5,Marketing,Mumbai,128089,15,3,5,1,1,5,3,9,39,Travel_Rarely,No,6,1,4,2,4,1,1,Yes,Job is fine but I am looking for more interesting challenges
10098,54,Male,Single,Marketing,Marketing Manager,1,Computer Science,Bengaluru,79482,23,1,16,8,5,6,23,2,7,Travel_Rarely,No,6,3,1,2,3,1,3,No,"Good colleagues, strong learning opportunities and recognition"
10099,40,Female,Single,Technology,Senior Developer,3,Finance,Bengaluru,84192,15,0,17,6,5,2,21,5,32,Travel_Rarely,Yes,1,2,2,2,2,4,4,Yes,Poor management decisions causing frustration across the team
10100,22,Female,Married,Marketing,Brand Manager,3,Finance,Hyderabad,102154,18,2,3,8,3,9,13,3,4,Non-Travel,No,1,3,3,2,4,4,4,No,Work is okay but salary could definitely be better though
10101,26,Female,Married,Marketing,Brand Manager,5,Computer Science,Bengaluru,101066,10,1,8,2,4,0,8,5,21,Travel_Frequently,No,6,2,2,4,3,1,4,Yes,I feel undervalued and underpaid compared to industry standards
10102,48,Female,Married,Technology,Senior Developer,4,Computer Science,Pune,233480,17,2,9,0,6,2,5,7,42,Travel_Rarely,No,1,2,1,4,4,1,4,Yes,"It is an okay place to work, nothing exceptional about it"
10103,37,Female,Married,Technology,Data Analyst,1,HR Management,Mumbai,174402,19,1,1,0,7,8,25,1,32,Non-Travel,No,6,4,2,4,1,3,2,Yes,Poor management decisions causing frustration across the team
10104,27,Male,Divorced,Technology,QA Engineer,4,Marketing,Hyderabad,162211,22,0,10,9,5,0,5,3,56,Travel_Frequently,Yes,1,2,4,2,3,4,4,Yes,Work is okay but salary could definitely be better though
10105,34,Male,Single,Technology,QA Engineer,2,Finance,Bhubaneswar,143514,22,3,10,5,4,7,8,6,18,Non-Travel,No,6,2,2,2,1,2,2,Yes,"Too much overtime, work life balance is completely terrible"
10106,56,Female,Single,Sales,BD Executive,3,Engineering,Bhubaneswar,47977,14,1,10,6,2,1,4,7,33,Travel_Frequently,Yes,4,1,3,3,3,3,1,Yes,Poor management decisions causing frustration across the team
10107,40,Female,Single,Finance,Tax Analyst,3,HR Management,Mumbai,19983,22,2,0,8,6,5,22,3,14,Travel_Rarely,No,2,4,4,4,2,4,2,Yes,Management doesnt listen and salary is way below market rate
10108,33,Female,Single,Finance,Financial Analyst,4,HR Management,Bhubaneswar,185981,15,2,13,5,7,2,14,4,6,Travel_Rarely,No,4,2,4,1,4,2,4,Yes,Poor management decisions causing frustration across the team
10109,37,Male,Married,Technology,Senior Developer,1,Engineering,Pune,210552,15,1,0,4,2,6,19,6,11,Travel_Rarely,No,2,1,4,1,2,2,2,Yes,Management doesnt listen and salary is way below market rate
10110,31,Female,Married,Finance,Auditor,3,Engineering,Bengaluru,64029,10,0,8,1,4,1,13,5,46,Travel_Rarely,Yes,4,4,4,3,1,1,4,Yes,Very high pressure with little or no recognition for work done
10111,46,Female,Married,Finance,Auditor,4,Business Administration,Mumbai,167401,12,0,0,1,1,3,4,9,20,Non-Travel,Yes,5,3,3,2,4,1,2,Yes,"It is an okay place to work, nothing exceptional about it"
10112,41,Female,Single,Technology,DevOps Engineer,1,Engineering,Hyderabad,137668,21,3,3,7,9,9,33,1,29,Non-Travel,No,4,2,1,4,2,2,3,Yes,"Average experience overall, some good and some bad aspects"
10113,52,Female,Single,Finance,Finance Manager,4,Computer Science,Bengaluru,182806,15,3,0,0,9,8,22,5,58,Non-Travel,No,1,3,1,2,3,2,4,Yes,"No growth at all, stuck in same role for many years now"
10114,25,Male,Married,Marketing,Digital Marketer,1,Finance,Bhubaneswar,57837,23,2,18,7,3,5,1,1,35,Travel_Frequently,No,2,4,4,2,3,1,2,No,Job is fine but I am looking for more interesting challenges
10115,44,Female,Single,HR,L&D Specialist,5,Business Administration,Bhubaneswar,220426,24,2,9,9,3,3,11,8,16,Non-Travel,No,3,4,1,1,2,1,4,No,"I love working here, great team and management support"
10116,23,Female,Married,HR,HR Executive,1,Computer Science,Hyderabad,222526,23,3,14,6,7,1,16,7,48,Travel_Rarely,No,5,1,3,1,4,1,1,Yes,Very high pressure with little or no recognition for work done
10117,43,Male,Divorced,Technology,Junior Developer,2,Business Administration,Pune,132512,20,3,19,6,2,9,4,5,7,Travel_Frequently,No,3,2,1,4,1,1,2,Yes,Work is okay but salary could definitely be better though
10118,29,Female,Married,Sales,Sales Manager,5,Finance,Hyderabad,81786,20,3,3,4,4,8,29,6,40,Travel_Frequently,No,5,2,1,4,3,4,2,Yes,Poor management decisions causing frustration across the team
10119,28,Female,Married,Technology,QA Engineer,4,Business Administration,Mumbai,19758,18,1,19,2,4,3,24,4,59,Non-Travel,No,3,1,3,2,1,1,3,Yes,"Average experience overall, some good and some bad aspects"
10120,35,Male,Married,Sales,BD Executive,5,Computer Science,Hyderabad,117667,15,3,13,6,1,8,9,9,36,Travel_Frequently,No,1,3,1,2,4,3,4,Yes,Job is fine but I am looking for more interesting challenges
10121,24,Male,Single,HR,HR Executive,5,Marketing,Bhubaneswar,213771,24,1,4,6,8,1,8,3,44,Non-Travel,No,3,4,4,3,4,3,2,No,Management is supportive and salary is competitive and fair
10122,37,Male,Married,Technology,QA Engineer,4,Finance,Pune,123119,21,1,14,6,3,6,14,2,44,Travel_Rarely,No,6,1,4,2,3,3,3,Yes,"Average experience overall, some good and some bad aspects"
10123,40,Female,Single,Operations,Operations Manager,4,HR Management,Pune,115157,22,3,14,1,8,4,15,7,31,Travel_Rarely,No,4,4,3,3,1,1,3,Yes,"Too much overtime, work life balance is completely terrible"
10124,39,Female,Single,Marketing,Content Writer,2,Finance,Chennai,97673,15,0,15,2,8,7,22,2,42,Non-Travel,No,1,3,4,2,4,2,3,Yes,"No growth at all, stuck in same role for many years now"
10125,37,Male,Married,Finance,Tax Analyst,4,Finance,Hyderabad,112639,10,0,15,2,1,7,15,6,44,Non-Travel,Yes,6,3,4,2,1,2,4,Yes,"Average experience overall, some good and some bad aspects"
10126,29,Male,Divorced,Sales,Sales Lead,3,Finance,Mumbai,167904,18,2,3,3,8,3,6,8,43,Travel_Rarely,Yes,3,3,4,2,3,4,4,Yes,"Average experience overall, some good and some bad aspects"
10127,54,Male,Single,Operations,Supply Chain Analyst,3,Marketing,Bhubaneswar,147940,13,3,8,8,8,3,1,3,43,Travel_Rarely,No,1,2,4,4,3,1,2,Yes,Job is fine but I am looking for more interesting challenges
10128,33,Female,Married,Finance,Tax Analyst,2,Computer Science,Bengaluru,129869,24,2,0,9,1,7,20,3,47,Travel_Frequently,No,4,4,4,4,4,3,4,Yes,Poor management decisions causing frustration across the team
10129,32,Female,Divorced,Finance,Financial Analyst,1,HR Management,Pune,196737,11,3,4,0,5,2,2,3,6,Travel_Rarely,No,1,4,1,4,4,2,4,No,Job is fine but I am looking for more interesting challenges
10130,26,Male,Married,Technology,Senior Developer,1,Computer Science,Hyderabad,187934,10,2,8,6,8,6,6,1,29,Travel_Frequently,No,3,1,3,3,1,1,1,Yes,Very high pressure with little or no recognition for work done
